DateTime,Wind speed | (m/s)
01-01-2023 00:00,10.868
01-01-2023 01:00,10.679
01-01-2023 02:00,11.2
01-01-2023 03:00,10.962
01-01-2023 04:00,11.307
01-01-2023 05:00,11.562
01-01-2023 06:00,11.954
01-01-2023 07:00,12.547
01-01-2023 08:00,10.588
01-01-2023 09:00,9.792
01-01-2023 10:00,10.488
01-01-2023 11:00,10.022
01-01-2023 12:00,10.014
01-01-2023 13:00,9.425
01-01-2023 14:00,8.695
01-01-2023 15:00,8.19
01-01-2023 16:00,8.679
01-01-2023 17:00,9.148
01-01-2023 18:00,9.946
01-01-2023 19:00,10.56
01-01-2023 20:00,11.217
01-01-2023 21:00,11.685
01-01-2023 22:00,11.955
01-01-2023 23:00,13.1
02-01-2023 00:00,11.08
02-01-2023 01:00,11.359
02-01-2023 02:00,10.49
02-01-2023 03:00,8.813
02-01-2023 04:00,8.866
02-01-2023 05:00,8.949
02-01-2023 06:00,8.518
02-01-2023 07:00,8.645
02-01-2023 08:00,8.041
02-01-2023 09:00,8.561
02-01-2023 10:00,7.39
02-01-2023 11:00,8.286
02-01-2023 12:00,6.971
02-01-2023 13:00,5.818
02-01-2023 14:00,4.921
02-01-2023 15:00,4.975
02-01-2023 16:00,4.035
02-01-2023 17:00,3.372
02-01-2023 18:00,3.662
02-01-2023 19:00,3.688
02-01-2023 20:00,3.879
02-01-2023 21:00,3.846
02-01-2023 22:00,3.462
02-01-2023 23:00,4.074
03-01-2023 00:00,4.441
03-01-2023 01:00,3.582
03-01-2023 02:00,2.903
03-01-2023 03:00,2.949
03-01-2023 04:00,3.325
03-01-2023 05:00,2.695
03-01-2023 06:00,3.199
03-01-2023 07:00,3.802
03-01-2023 08:00,4.442
03-01-2023 09:00,5.159
03-01-2023 10:00,5.722
03-01-2023 11:00,7.101
03-01-2023 12:00,7.647
03-01-2023 13:00,8.07
03-01-2023 14:00,8.233
03-01-2023 15:00,5.965
03-01-2023 16:00,4.26
03-01-2023 17:00,4.933
03-01-2023 18:00,5.321
03-01-2023 19:00,6.109
03-01-2023 20:00,6.485
03-01-2023 21:00,6.853
03-01-2023 22:00,7.529
03-01-2023 23:00,8.864
